angle,velocity,label
-55.24795145,34.83277211,1
-55.24795145,34.40164397,1
-55.24795145,33.68694333,1
-55.24795145,33.44927288,1
-55.24795145,35.5540334,1
-55.24795145,35.35213802,1
28.18826332,35.33393422,1
28.18826332,35.71067892,1
28.18826332,35.88189624,1
28.18826332,35.1855012,1
28.18826332,34.96662622,1
28.18826332,35.45013499,1
55.43351267,34.58825801,1
55.43351267,33.27919525,1
55.43351267,35.46486819,1
55.43351267,33.11422967,1
55.43351267,34.8732749,1
55.43351267,34.28746486,1
55.43351267,33.80991287,1
55.43351267,34.07449441,1
55.43351267,34.76836012,1
55.43351267,35.69381854,1
55.43351267,33.62392036,1
55.43351267,35.84388812,1
55.43351267,33.49344126,1
55.43351267,35.18338946,1
55.43351267,35.34362255,1
36.3785404,35.7215804,1
36.3785404,34.68209823,1
36.3785404,34.86281055,1
36.3785404,35.3948148,1
36.3785404,35.56191722,1
36.3785404,35.96756964,1
36.3785404,34.29470761,1
36.3785404,34.11129372,1
36.3785404,34.55879998,1
36.3785404,35.11751398,1
-21.5914166,35.68112089,1
-21.5914166,34.74844659,1
-21.5914166,35.54675843,1
-21.5914166,35.32136336,1
-21.5914166,34.99843712,1
-21.5914166,35.10389486,1
-21.5914166,35.8110442,1
23.05603976,35.93767356,1
23.05603976,35.70234602,1
23.05603976,35.5053844,1
-2.80639136,32.92569561,1
-2.80639136,33.32364402,1
-2.80639136,32.53120369,1
-2.80639136,35.20992016,1
-2.80639136,35.52187945,1
-2.80639136,33.47357281,1
-2.80639136,35.01037173,1
-2.80639136,35.84819446,1
-2.80639136,34.85702242,1
-2.80639136,34.18303891,1
-2.80639136,34.56085096,1
-2.80639136,33.19337895,1
-2.80639136,34.26081912,1
-2.80639136,34.68008591,1
-2.80639136,35.61526627,1
-2.80639136,33.68607686,1
-2.80639136,32.63525063,1
-2.80639136,33.83410181,1
-78.01165346,32.66952105,1
-78.01165346,32.96946358,1
-78.01165346,34.79718665,1
-78.01165346,35.76705121,1
-78.01165346,35.55051943,1
-78.01165346,34.89625309,1
-78.01165346,35.93917214,1
-78.01165346,34.27306994,1
-78.01165346,35.12473506,1
-78.01165346,33.07185474,1
-78.01165346,34.50207799,1
-78.01165346,34.17173138,1
-78.01165346,35.28818153,1
-78.01165346,33.26368563,1
-78.01165346,33.92379314,1
-78.01165346,33.41680168,1
-78.01165346,33.74770088,1
72.76512975,32.70991328,1
72.76512975,35.57220985,1
72.76512975,35.76304521,1
72.76512975,35.16298491,1
72.76512975,33.19171173,1
72.76512975,33.63425964,1
72.76512975,34.01723919,1
72.76512975,34.58095478,1
72.76512975,34.20020306,1
72.76512975,34.92144539,1
72.76512975,35.96016432,1
72.76512975,33.43123808,1
72.76512975,32.89773029,1
72.76512975,35.30951439,1
72.76512975,33.93321038,1
72.76512975,34.7488406,1
72.76512975,33.30202925,1
-42.87614882,34.59557055,1
-42.87614882,35.81749547,1
-42.87614882,34.79210749,1
-42.87614882,33.56296188,1
-42.87614882,34.11329536,1
-42.87614882,35.29521208,1
-42.87614882,33.94812241,1
-42.87614882,33.65732712,1
-42.87614882,34.39928849,1
-42.87614882,34.95950478,1
-42.87614882,35.64971259,1
-42.87614882,35.05511802,1
-42.87614882,35.56015344,1
-13.06598889,35.16245645,1
-13.06598889,34.57114987,1
-13.06598889,34.03805866,1
-13.06598889,35.54203294,1
-13.06598889,35.75413968,1
-13.06598889,35.87340705,1
-13.06598889,34.29243153,1
-13.06598889,34.95251376,1
-13.06598889,35.26451331,1
-13.06598889,34.69344847,1
20.58999293,35.9374487,1
20.58999293,35.77760658,1
-56.68319868,35.92784806,1
-56.68319868,34.4827664,1
-56.68319868,33.43863679,1
-56.68319868,35.31677202,1
-56.68319868,34.2308694,1
-56.68319868,34.86690868,1
-56.68319868,34.09867941,1
-56.68319868,34.60770124,1
-56.68319868,35.58691367,1
-56.68319868,33.02615416,1
-56.68319868,33.79231339,1
-56.68319868,33.97314672,1
-56.68319868,35.66728788,1
-56.68319868,35.02277895,1
-56.68319868,33.2811967,1
87.00669502,32.68973699,1
87.00669502,33.88918957,1
87.00669502,35.86915996,1
87.00669502,34.8571895,1
87.00669502,33.68406613,1
87.00669502,35.34676488,1
87.00669502,35.01560078,1
87.00669502,32.83351745,1
87.00669502,35.49129613,1
87.00669502,33.21513954,1
87.00669502,33.58170161,1
87.00669502,34.52152583,1
87.00669502,35.69750588,1
87.00669502,34.36597483,1
87.00669502,34.12879652,1
87.00669502,33.10267164,1
87.00669502,34.66013814,1
-16.16355031,34.71088141,1
-16.16355031,35.12894197,1
-16.16355031,35.27651645,1
-16.16355031,34.95347097,1
-16.16355031,34.50908738,1
-16.16355031,35.77464985,1
-16.16355031,35.49213069,1
-16.16355031,35.98673023,1
-9.40968512,34.91029021,1
-9.40968512,35.92230515,1
-9.40968512,33.60314128,1
-9.40968512,35.5354557,1
-9.40968512,35.01242898,1
-9.40968512,33.43950593,1
-9.40968512,33.88573867,1
-9.40968512,35.76745896,1
-9.40968512,34.2470328,1
-9.40968512,35.30524296,1
-9.40968512,34.45420081,1
-9.40968512,34.14025001,1
-9.40968512,34.67747319,1
46.95900697,35.94189717,1
46.95900697,35.3217147,1
46.95900697,34.45726489,1
46.95900697,33.44340204,1
46.95900697,33.3520623,1
46.95900697,35.120136,1
46.95900697,34.27894502,1
46.95900697,33.9478073,1
46.95900697,34.18772775,1
46.95900697,33.75649345,1
46.95900697,35.50508497,1
46.95900697,34.67773315,1
46.95900697,34.88762377,1
46.95900697,35.71981256,1
31.14047539,34.65470886,1
31.14047539,34.51473111,1
31.14047539,35.97248486,1
31.14047539,35.24313935,1
31.14047539,35.7989221,1
31.14047539,35.45302627,1
31.14047539,35.07597397,1
31.14047539,34.95424196,1
85.96942173,35.60771228,1
85.96942173,33.6504693,1
85.96942173,35.06335776,1
85.96942173,33.45724693,1
85.96942173,35.42922192,1
85.96942173,33.9183369,1
85.96942173,32.65870312,1
85.96942173,34.8505872,1
85.96942173,35.25761474,1
85.96942173,34.6335691,1
85.96942173,34.07065153,1
